_feat_WienerPolarity,_feat_BondCount,_feat_fr_NH0,_feat_Refractivity,_feat_LargestRingSize,_feat_HeteroaliphaticRingCount,_feat_fr_quatN,_feat_AromaticAtomCount,_feat_AtomCount_C,_feat_fr_amidine,_feat_CyclomaticNumber,_feat_LengthPerpendicularToTheMinArea,_feat_fr_guanido,_feat_donorcount,_feat_fr_NH2,_feat_minimalprojectionsize,_feat_AtomCount_N,_feat_WienerIndex,_feat_AvgPol,_feat_donsitecount,_feat_Hacceptorcount,_feat_ASA-,_feat_fr_Ar_NH,_feat_HeteroaromaticRing Count,_feat_Accsitecount,_feat_acceptorcount,_feat_ASA,_feat_CarboaromaticRingCount,_feat_BalabanIndex,_feat_SmallestRingSize,_feat_RingAtomCount,_feat_PolarSurfaceArea,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_CarboRingCount,_feat_CarboaliphaticRingCount,_feat_VanderWaalsSurfaceArea,_feat_ASA_H,_feat_ASA+,_feat_fr_piperdine,_feat_Aliphatic AtomCount,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_LengthPerpendicularToTheMaxArea,_feat_HyperWienerIndex,_feat_MolPol,_feat_fr_Imine,_feat_RotatableBondCount,_feat_maximalprojectionsize,_feat_ChainAtomCount,_feat_MinimalProjectionRadius,_feat_VanderWaalsVolume,_feat_ASA_P,_feat_fr_NH1,_feat_MaximalProjectionRadius,_feat_Hdonorcount,_feat_fr_pyridine,_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,_out_crystalscore,solvent_Dimethyl sulfoxide,solvent_Dimethylformamide,solvent_Gamma-Butyrolactone
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.2162361289262806,0.6319364825693782,4.194307474776734,0.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.2145764703742152,0.5204809997285978,4.156684968634357,0.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.6402206134938849,1.5033364364281805,3.2549329003586527,0.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.3981954665238058,0.7553361242319256,5.0178334518011685,0.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.4957805970348986,1.30479819822027,4.999214015603116,0.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.6878993807731575,0.7859778539030029,4.991098408434928,1.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.3502017132158608,1.1467915127708568,5.025966083003438,0.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.7960637891470016,1.1583782754522158,3.2549329003586527,0.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.8649506211383583,0.6728473374625554,6.526021056804542,0.0,0,0,1
2.0,16.0,0.0,35.09,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.15,0.0,1.0,0.0,9.15,1.0,20.0,10.0,3.0,0.0,70.99,0.0,0.0,0.0,0.0,273.98,0.0,2.19,0.0,0.0,27.64,18.77,34.38,0.0,0.0,173.44,225.09,202.99,0.0,5.0,0.0,0.0,5.42,35.0,9.57,0.0,2.0,5.42,5.0,2.69,93.45,48.89,0.0,4.57,1.0,0.0,0.5875708919894536,1.5243111153491782,3.2549329003586527,0.0,0,0,1
