mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_state,param_model__n_jobs,param_model__n_estimators,param_model__base_estimator,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.31868791580200195,0.058548927307128906,0.6155599355697632,0.020609021186828613,3,-1,30,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 30, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.71,0.685,0.024999999999999967,6,0.7213114754098361,0.7244897959183674,0.7229006356641017,0.0015891602542656424,1,0.7951807228915663,0.7395833333333334,0.7673820281124498,0.02779869477911645,1,0.6649963009831598,0.6588807509061018,0.6619385259446308,0.003057775038528998,1
0.32697057723999023,0.09223055839538574,0.6433541774749756,0.09705018997192383,7,-1,30,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 7, 'model__n_jobs': -1, 'model__n_estimators': 30, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.67,0.7,0.685,0.014999999999999958,6,0.7127659574468085,0.7142857142857142,0.7135258358662613,0.000759878419452853,19,0.7613636363636364,0.7291666666666666,0.7452651515151515,0.016098484848484862,28,0.6498669576484398,0.6462348607194499,0.6480509091839448,0.001816048464494957,23
0.38178253173828125,0.028702497482299805,0.26215851306915283,0.03347647190093994,6,-1,15,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 15, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.72,0.685,0.034999999999999976,6,0.7065217391304347,0.7346938775510204,0.7206078083407276,0.014086069210292873,4,0.7738095238095238,0.75,0.7619047619047619,0.011904761904761918,6,0.6458555496894038,0.6715266410927535,0.6586910953910787,0.012835545701674833,4
0.4136524200439453,0.02611827850341797,0.4588346481323242,0.004315614700317383,9,-1,20,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 9, 'model__n_jobs': -1, 'model__n_estimators': 20, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.71,0.6799999999999999,0.02999999999999997,18,0.7065217391304347,0.7135678391959798,0.7100447891632072,0.0035230500327725345,28,0.7738095238095238,0.7171717171717171,0.7454906204906204,0.028318903318903355,27,0.6458555496894038,0.6438151591259903,0.644835354407697,0.0010201952817067705,27
0.2788890600204468,0.019451022148132324,0.29221010208129883,0.0014328956604003906,8,-1,10,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 8, 'model__n_jobs': -1, 'model__n_estimators': 10, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.61,0.67,0.64,0.030000000000000027,48,0.6703296703296703,0.6836734693877551,0.6770015698587126,0.006671899529042402,46,0.7439024390243902,0.6979166666666666,0.7209095528455285,0.022992886178861808,42,0.6036210875724402,0.6082971901594946,0.6059591388659673,0.00233805129352721,46
0.1293114423751831,0.027725577354431152,0.19267702102661133,0.00822901725769043,1,-1,5,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 5, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.65,0.655,0.0050000000000000044,45,0.702127659574468,0.680628272251309,0.6913779659128885,0.010749693661579518,42,0.75,0.7142857142857143,0.7321428571428572,0.01785714285714285,36,0.6367851533020534,0.6079143149600996,0.6223497341310765,0.014435419170976904,40
0.1649785041809082,0.0015645027160644531,0.26561713218688965,0.020987987518310547,6,-1,20,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 20, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.72,0.685,0.034999999999999976,6,0.6989247311827957,0.7309644670050761,0.7149445990939359,0.016019867911140184,17,0.7558139534883721,0.7422680412371134,0.7490409973627428,0.006772956125629337,23,0.6346146988749659,0.6663889281715902,0.6505018135232781,0.01588711464831216,16
0.28133606910705566,0.05370616912841797,0.4875684976577759,0.01661360263824463,1,-1,40,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 40, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.67,0.71,0.69,0.019999999999999962,3,0.716577540106952,0.7171717171717172,0.7168746286393346,0.0002970885323826389,10,0.7701149425287356,0.7244897959183674,0.7473023692235514,0.022812573305184103,25,0.6554012941353009,0.6487717934565084,0.6520865437959047,0.0033147503393962663,14
0.1710747480392456,0.06337153911590576,0.14220774173736572,0.000764012336730957,9,-1,5,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 9, 'model__n_jobs': -1, 'model__n_estimators': 5, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.66,0.66,0.0,43,0.6984126984126984,0.6875,0.6929563492063492,0.005456349206349187,39,0.7415730337078652,0.717391304347826,0.7294821690278457,0.012090864680019573,38,0.6313890540599242,0.6156526406819203,0.6235208473709222,0.007868206689001955,39
0.2971404790878296,0.03586161136627197,0.2940100431442261,0.029693007469177246,4,-1,50,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 50, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.67,0.7,0.685,0.014999999999999958,6,0.708994708994709,0.717948717948718,0.7134717134717135,0.004477004477004498,20,0.7528089887640449,0.7368421052631579,0.7448255470136014,0.00798344175044352,29,0.6444126710593736,0.6513396273602131,0.6478761492097933,0.003463478150419752,24
